,name,pref,review_score,review_num,status,url,address,lat,lon
0,ちばから,千葉県,98.9,568,営業,https://ramendb.supleks.jp/s/4227.html,〒290-0072 千葉県市原市西国分寺台1丁目3番16号,35.501649,140.112527
1,ラーメン二郎 ひばりヶ丘駅前店,東京都,98.28,"1,103",営業,https://ramendb.supleks.jp/s/4738.html,〒188-0001 東京都西東京市谷戸町3-27-24 ひばりヶ丘プラザ1F,35.749958,139.543549
2,ラーメン二郎 横浜関内店,神奈川県,98.1,"1,085",営業,https://ramendb.supleks.jp/s/2532.html,〒231-0033 神奈川県横浜市中区長者町6-94,35.442006,139.630675
3,ラーメン二郎 めじろ台店,東京都,97.88,143,営業,https://ramendb.supleks.jp/s/99697.html,〒193-0942 東京都八王子市椚田町513-9,35.638958,139.312231
4,ラーメン二郎 八王子野猿街道店2,東京都,97.85,"1,104",営業,https://ramendb.supleks.jp/s/4017.html,〒192-0355 東京都八王子市堀之内2-13-16,35.629525,139.401362
5,ラーメン二郎 神田神保町店,東京都,97.77,142,営業,https://ramendb.supleks.jp/s/105637.html,〒101-0051 東京都千代田区神田神保町1-21-4,35.695178999999996,139.760826
6,ラーメン二郎 三田本店,東京都,97.42,"1,204",営業,https://ramendb.supleks.jp/s/1419.html,〒108-0073 東京都港区三田2-16-4,35.648073,139.741615
7,ラーメン二郎 京成大久保店,千葉県,96.97,306,営業,https://ramendb.supleks.jp/s/4731.html,〒274-0072 千葉県船橋市三山2-1-11,35.6915,140.049622
8,ラーメンBoo Boo太郎。,千葉県,96.7,135,営業,https://ramendb.supleks.jp/s/95471.html,〒260-0013 千葉県千葉市中央区中央4-13-21 小川ビル1F,35.60611,140.12152700000001
9,ラーメン二郎 松戸駅前店,千葉県,96.5,618,営業,https://ramendb.supleks.jp/s/286.html,〒271-0091 千葉県松戸市本町17-9,35.785964,139.899356
10,ラーメン二郎 相模大野店,神奈川県,96.4,512,営業,https://ramendb.supleks.jp/s/2420.html,〒252-0303 神奈川県相模原市南区相模大野6-14-9 MKプラザⅡ 103号,35.529931,139.43293400000002
11,ラーメン二郎 小岩店,東京都,96.15,726,営業,https://ramendb.supleks.jp/s/3387.html,〒133-0057 東京都江戸川区西小岩3-31-13,35.734949,139.879891
12,ラーメンの店 どでん,埼玉県,96.14,367,営業,https://ramendb.supleks.jp/s/62438.html,〒336-0911 埼玉県さいたま市緑区三室1207-4,35.880002000000005,139.672641
13,千里眼,東京都,96.1,673,営業,https://ramendb.supleks.jp/s/23650.html,〒153-0041 東京都目黒区駒場4-6-8 佐藤ビル1F,35.664004999999996,139.678508
14,ラーメン二郎 西台駅前店,東京都,95.93,43,営業,https://ramendb.supleks.jp/s/113862.html,〒174-0046 東京都板橋区蓮根3丁目9-7,35.786955,139.674437
15,ラーメン二郎 荻窪店,東京都,95.89,418,営業,https://ramendb.supleks.jp/s/2638.html,〒167-0051 東京都杉並区荻窪4-33-1,35.703637,139.6263
16,豚星。,神奈川県,95.84,889,営業,https://ramendb.supleks.jp/s/81897.html,〒211-0025 神奈川県川崎市中原区木月4-5-20,35.559965999999996,139.654415
17,ラーメン二郎 環七一之江店,東京都,95.72,752,営業,https://ramendb.supleks.jp/s/1124.html,〒132-0003 東京都江戸川区一之江8-3-4,35.68408,139.881959
18,ラーメン二郎 目黒店,東京都,95.71,647,営業,https://ramendb.supleks.jp/s/1414.html,〒153-0063 東京都目黒区目黒3-7-2,35.634215999999995,139.707093
19,麺屋 歩夢,神奈川県,95.5,182,営業,https://ramendb.supleks.jp/s/108722.html,〒252-0202 神奈川県相模原市中央区淵野辺本町3-29-13,35.574096999999995,139.406757
20,ラーメン二郎 栃木街道店,栃木県,95.45,452,営業,https://ramendb.supleks.jp/s/12524.html,〒321-0225 栃木県下都賀郡壬生町本丸2-15-67,36.422914,139.794921
24,らーめん いごっそう,東京都,82.47,152,営業,https://ramendb.supleks.jp/s/169.html,〒117-0051 東京都練馬区関町南 4-25-18,35.722906,139.566993
28,自家製麺 ダイサン,群馬県,82.47,47,営業,https://ramendb.supleks.jp/s/106777.html,〒372-0812 群馬県伊勢崎市連取町2361-3,36.307356,139.18450900000002
29,The Outsiders,東京都,82.46,238,営業,https://ramendb.supleks.jp/s/2266.html,〒141-0032 東京都品川区大崎 1-20-16,35.618095000000004,139.730953
30,ラーメンタロー 五反田の陣,東京都,82.42,41,営業,https://ramendb.supleks.jp/s/82549.html,東京都品川区西五反田8-4-15,35.622756,139.722593
31,ラーメン二郎 新宿歌舞伎町店,東京都,82.41,125,営業,https://ramendb.supleks.jp/s/95249.html,〒160-0021 東京都新宿区歌舞伎町2-37-5 日新ビル1階,35.696143,139.701927
32,鬼豚オーガ,東京都,82.37,23,営業,https://ramendb.supleks.jp/s/113672.html,〒135-0042 東京都江東区木場5-5-12 JUビル1F,35.669607,139.806499
33,肉汁らーめん 公 kimi,東京都,82.37,127,営業,https://ramendb.supleks.jp/s/34012.html,東京都品川区北品川2-25-10,35.618803,139.74490600000001
34,ジャンクガレッジ 熊谷店,埼玉県,82.36,154,営業,https://ramendb.supleks.jp/s/30606.html,〒360-0824 埼玉県熊谷市見晴町18,36.142346,139.375571
35,ラーメン豚山 大塚店,東京都,82.31,25,営業,https://ramendb.supleks.jp/s/113887.html,〒112-0012 東京都豊島区北大塚2-11-14,35.733084000000005,139.72787399999999
36,自家製麺 鶏八朗,東京都,82.3,30,営業,https://ramendb.supleks.jp/s/89765.html,〒114-0034 東京都北区上十条1-19-7,35.759375,139.72308600000002
37,らうめん さぶ郎,東京都,82.28,85,営業,https://ramendb.supleks.jp/s/3735.html,〒105-0021 東京都港区東新橋2-6-5,35.661844,139.757072
38,ゴル麺 横浜本店,神奈川県,82.28,59,営業,https://ramendb.supleks.jp/s/31713.html,〒220-0005 神奈川県横浜市西区南幸2-18-1,35.463891,139.615726
39,らーめん大 練馬店,東京都,82.26,145,営業,https://ramendb.supleks.jp/s/20843.html,〒176-0012 東京都練馬区豊玉北5-32-9,35.736875,139.652798
40,ラーメンタロー 大森の陣,東京都,82.21,122,営業,https://ramendb.supleks.jp/s/55702.html,〒143-0016 東京都大田区大森北1-3-12,35.587604999999996,139.7286
41,ジャンクガレッジ 白岡店,埼玉県,82.2,43,営業,https://ramendb.supleks.jp/s/80001.html,埼玉県白岡市西10-1-6,36.024271999999996,139.652282
42,匠神角ふじ 柏店,千葉県,82.11,297,営業,https://ramendb.supleks.jp/s/330.html,〒277-0005 千葉県柏市柏4-9-11 澤辺ビル 1F,35.864327,139.972937
43,トランキーロ！,東京都,82.06,22,営業,https://ramendb.supleks.jp/s/115990.html,〒151-0071 東京都渋谷区本町3-41-12  グリーンキャピタル西新宿 101,35.688303999999995,139.68090800000002
44,麺屋 ふじ田,東京都,82.03,30,営業,https://ramendb.supleks.jp/s/87944.html,〒116-0014 東京都荒川区東日暮里5-52-5,35.727437,139.77237
45,用心棒 市ヶ谷飯田橋,東京都,81.99,18,営業,https://ramendb.supleks.jp/s/119264.html,〒162-0843 東京都新宿区市谷田町3-8-3 コアクツビル1F,35.696309,139.73900700000002
46,中華そばつけ麺 魚介の達人 久兵衛 取手店,茨城県,81.97,137,営業,https://ramendb.supleks.jp/s/24011.html,〒302-0033 茨城県取手市米ノ井167-28 2階,35.924170000000004,140.026268
47,ラーメン 神田店,東京都,81.97,96,営業,https://ramendb.supleks.jp/s/6515.html,〒103-0021 東京都中央区日本橋本石町4-4-17,35.68861,139.771296
51,ラーメン凛 砂町店,東京都,81.96,69,営業,https://ramendb.supleks.jp/s/60567.html,〒136-0074 東京都江東区東砂1-6-8,35.681244,139.84087
52,麺屋 とん嬉,茨城県,81.89,67,営業,https://ramendb.supleks.jp/s/95686.html,〒300-0838 茨城県土浦市摩利山新田273-5,36.038949,140.17596899999998
53,175°DENO担担麺 TOKYO,東京都,81.84,24,営業,https://ramendb.supleks.jp/s/107550.html,〒160-0023 東京都新宿区西新宿7-2-4MSビル1F,35.695078,139.69891
54,らーめん いち大,群馬県,81.81,50,営業,https://ramendb.supleks.jp/s/75391.html,群馬県高崎市上並榎町301,36.343327,138.98962
55,雅狼,埼玉県,81.79,82,営業,https://ramendb.supleks.jp/s/33375.html,埼玉県草加市中根3-23-13,35.847975,139.811395
56,メガガンジャ,埼玉県,81.77,343,営業,https://ramendb.supleks.jp/s/29552.html,〒350-1122 埼玉県川越市脇田町5-5,35.909682000000004,139.482099
57,麺屋信玄,埼玉県,81.76,156,営業,https://ramendb.supleks.jp/s/6539.html,〒350-2227 埼玉県鶴ヶ島市新町3-1-21,35.935288,139.373426
58,ガツ盛りラーメン バンブル 西浦和店,埼玉県,81.75,55,営業,https://ramendb.supleks.jp/s/63878.html,〒336-0032 埼玉県さいたま市南区四谷1-2-1,35.840253000000004,139.632568
59,ラーメン大 堀切店,東京都,81.6,208,営業,https://ramendb.supleks.jp/s/2686.html,〒124-0006 東京都葛飾区堀切4-57-14 カネコビル1F,35.748545,139.82703700000002
60,らーめん大 竹ノ塚店,東京都,81.59,97,営業,https://ramendb.supleks.jp/s/51879.html,〒121-0813 東京都足立区竹ノ塚6-15-14 ニュー竹ノ塚ビル1F,35.795443,139.792349
61,高木のぶぅ,東京都,81.48,61,営業,https://ramendb.supleks.jp/s/101946.html,〒189-0001 東京都東村山市秋津町5-13-21,35.777419,139.49336
62,ラーメン 大高山,茨城県,81.45,82,営業,https://ramendb.supleks.jp/s/67876.html,〒305-0854 茨城県つくば市上横場2431-5,36.040757,140.096898
63,らーめん勇,神奈川県,81.44,79,営業,https://ramendb.supleks.jp/s/53442.html,〒210-0015 神奈川県川崎市川崎区南町8-9-4 サウスウイング川崎101,35.525465000000004,139.696263
64,やらかし亭,神奈川県,81.3,43,営業,https://ramendb.supleks.jp/s/66086.html,〒231-0812 神奈川県横浜市中区錦町17 マリンハイツ2号棟1F,35.430322,139.66797
65,八王子田田,東京都,81.3,55,営業,https://ramendb.supleks.jp/s/53302.html,〒192-0082 東京都八王子市東町1-3,35.657716,139.341047
66,らーめん忍者,東京都,81.2,66,営業,https://ramendb.supleks.jp/s/90118.html,〒101-0023 東京都千代田区神田松永町17-3 秋葉原妙見屋ビル1F,35.70032,139.77516200000002
67,らーめん  破ぐん星,埼玉県,81.11,24,営業,https://ramendb.supleks.jp/s/110774.html,〒343-0045 埼玉県越谷市下間久里390-5,35.925740999999995,139.79108
68,爆麺亭 所沢店,埼玉県,81.11,67,営業,https://ramendb.supleks.jp/s/74566.html,埼玉県所沢市上安松1024-76,35.789884,139.485875
69,麺や 唯桜,埼玉県,80.96,198,営業,https://ramendb.supleks.jp/s/29067.html,埼玉県坂戸市八幡1-3-22,35.959848,139.403368
73,らーめん大 池袋店,東京都,80.92,196,営業,https://ramendb.supleks.jp/s/17470.html,東京都豊島区池袋2-19-3,35.732489,139.705481
74,凛 渋谷店,東京都,80.87,179,営業,https://ramendb.supleks.jp/s/31593.html,東京都渋谷区宇田川町6ー20 パラシオン渋谷1階,35.66296,139.69714
75,濃厚鶏そば 麺屋武一 秋葉原店,東京都,80.79,43,営業,https://ramendb.supleks.jp/s/68917.html,東京都千代田区外神田3丁目13-5,35.700654,139.771062
76,ジャンクガレッジ しらこばと公園前店,埼玉県,80.75,41,営業,https://ramendb.supleks.jp/s/105093.html,〒343-0802 埼玉県越谷市小曽川324-3,35.919187,139.751932
77,ラーメン二郎 新宿小滝橋通り店,東京都,80.6,422,営業,https://ramendb.supleks.jp/s/3710.html,〒160-0023 東京都新宿区西新宿7-5-5,35.696476000000004,139.698489
78,ラーメン麺徳 東陽町店,東京都,80.56,238,営業,https://ramendb.supleks.jp/s/14306.html,〒135-0016 東京都江東区東陽3-15-3,35.670361,139.811218
79,立川マシマシ 9号店,愛知県,80.44,23,営業,https://ramendb.supleks.jp/s/103296.html,〒451-0045 愛知県名古屋市西区名駅1-1-16,35.17269,136.882524
80,麺や豚髭,埼玉県,80.43,72,営業,https://ramendb.supleks.jp/s/58846.html,〒333-0842 埼玉県川口市前川1-13-17,35.832759,139.710534
81,ちばから 郡山店,福島県,80.42,25,営業,https://ramendb.supleks.jp/s/110737.html,〒963-8878 福島県郡山市堤下12-7 ホテルシーアンドアイ 1F,37.391403000000004,140.381619
82,伝家 志木店,埼玉県,80.42,338,営業,https://ramendb.supleks.jp/s/32809.html,〒353-0004 埼玉県志木市本町5丁目10-20,35.826834000000005,139.57651
83,めん家 一麺惚,愛知県,80.41,12,営業,https://ramendb.supleks.jp/s/106021.html,〒486-0041 愛知県小牧市小牧2丁目57,35.294004,136.92658600000001
84,野郎ラーメン 海浜幕張店,千葉県,80.38,110,営業,https://ramendb.supleks.jp/s/27102.html,千葉県千葉市美浜区ひび野2-4 プレナ幕張1F,35.647715000000005,140.040503
85,RAMEN401,東京都,80.38,15,営業,https://ramendb.supleks.jp/s/113081.html,〒154-0001 東京都世田谷区池尻3-4-5 大江ビルB1F,35.649805,139.682467
86,ヒノブタセカンド 南越谷駅前店,埼玉県,80.36,25,営業,https://ramendb.supleks.jp/s/119327.html,〒343-0845 埼玉県越谷市南越谷4-8-6,35.874844,139.788154
87,明神角ふじ,茨城県,80.33,177,営業,https://ramendb.supleks.jp/s/3604.html,〒305-0854 茨城県つくば市上横場2192-1,36.043783000000005,140.093243
88,ラーメン 富次郎,茨城県,80.1,63,営業,https://ramendb.supleks.jp/s/79972.html,茨城県水戸市上水戸3-7-23-1F,36.392008000000004,140.449994
89,茨城豚そば 特龍 水戸堀町店,茨城県,80.1,26,営業,https://ramendb.supleks.jp/s/117543.html,〒310-0903 茨城県水戸市堀町1088,36.400271999999994,140.43946499999998
90,らーめん kaeru,東京都,80.08,120,営業,https://ramendb.supleks.jp/s/23108.html,東京都中野区中野5-56-15,35.70836,139.666355
91,大黒屋本舗 春日部店,埼玉県,80.07,239,営業,https://ramendb.supleks.jp/s/6961.html,〒344-0067 埼玉県春日部市中央1-7-21野口ビル103,35.978144,139.750884
92,らーめん伏竜 本店,埼玉県,80.01,52,営業,https://ramendb.supleks.jp/s/53307.html,〒352-0016 埼玉県新座市馬場1-8-5,35.781579,139.572583
96,麺屋 天海,茨城県,79.97,110,営業,https://ramendb.supleks.jp/s/68210.html,〒310-0846 茨城県水戸市東野町109,36.327011,140.451344
97,麺でる 多摩センター店,東京都,79.92,52,営業,https://ramendb.supleks.jp/s/56684.html,〒206-0031 東京都多摩市豊ヶ丘1-21-6,35.627342,139.42967
98,大盛軒,茨城県,79.88,119,営業,https://ramendb.supleks.jp/s/27181.html,茨城県日立市みなと町5779-25,36.492213,140.614997
99,ラーメン慶次郎 本店,東京都,79.87,60,営業,https://ramendb.supleks.jp/s/25626.html,〒173-0001 東京都板橋区本町14-14,35.761453,139.707229
100,らーめん藤ろう,埼玉県,79.82,48,営業,https://ramendb.supleks.jp/s/107290.html,〒347-0104 埼玉県加須市根古屋636-10,36.103968,139.584206
101,ちばから 経堂店,東京都,79.8,14,営業,https://ramendb.supleks.jp/s/120132.html,〒156-0051 東京都世田谷区宮坂3-12-5 タケベビル1F,35.652308000000005,139.636781
102,らーめん 旭郎山,千葉県,79.76,75,営業,https://ramendb.supleks.jp/s/27609.html,千葉県千葉市緑区古市場町547-3,35.546064,140.147495
103,麺屋 一心,栃木県,79.69,170,営業,https://ramendb.supleks.jp/s/18165.html,〒327-0844 栃木県佐野市富岡町1720-7,36.317303,139.601846
104,日本一馬鹿豚,群馬県,79.66,26,営業,https://ramendb.supleks.jp/s/83027.html,〒370-0042 群馬県高崎市貝沢町1320-1,36.339476,139.027019
105,らーめんPit,東京都,79.63,17,営業,https://ramendb.supleks.jp/s/97153.html,〒113-0021 東京都文京区本駒込6-4-4  1階,35.730314,139.742476
106,ラーメン 富次郎 堀町店,茨城県,79.61,65,営業,https://ramendb.supleks.jp/s/87277.html,〒310-0903 茨城県水戸市堀町962-2,36.403703,140.43237
107,らーめん ◯八,東京都,79.6,56,営業,https://ramendb.supleks.jp/s/52901.html,〒144-0054 東京都大田区新蒲田2-8-1 伊藤ビル1F,35.562113000000004,139.703281
108,らーめん大 松戸店,千葉県,79.54,19,営業,https://ramendb.supleks.jp/s/103887.html,〒271-0091 千葉県松戸市本町25-5 松戸本町ビル1F,35.786260999999996,139.898686
109,優勝軒 柏店,千葉県,79.5,129,営業,https://ramendb.supleks.jp/s/9936.html,〒277-0872 千葉県柏市十余二254-684,35.876464,139.968265
110,ラーメン すくえ屋,埼玉県,79.47,21,営業,https://ramendb.supleks.jp/s/119259.html,〒369-0301 埼玉県児玉郡上里町金久保666-1,36.26249,139.13561
111,麺屋 豚道場,富山県,79.46,24,営業,https://ramendb.supleks.jp/s/90707.html,〒930-0887 富山県富山市五福1922-5,36.698890000000006,137.191098
112,のスた OSAKA,大阪府,79.42,61,営業,https://ramendb.supleks.jp/s/52093.html,〒542-0075 大阪府大阪市中央区難波千日前8-5,34.6637,135.50401000000002
113,泪橋 溝の口店,神奈川県,79.42,23,営業,https://ramendb.supleks.jp/s/73881.html,〒213-0001 神奈川県川崎市高津区溝口1-17-20,35.601269,139.613834
114,雷神 角ふじ,千葉県,79.38,54,営業,https://ramendb.supleks.jp/s/64128.html,〒260-0822 千葉県千葉市中央区蘇我3-1-10,35.569496,140.129614
